restricted,full,LR,df,pvalue
TIME_COST_GENERIC,TIME_COST_SPECIFIC,127.75185951035292,2,1.8156669189052606e-28
TIME_COSTxRENDA_LMH_GENERIC,TIME_GENERIC_COSTxRENDA_LMH_SPECIFIC,110.48369140730256,3,8.634540094827363e-24
TIME_GENERIC_COSTxRENDA_ALLFAIXAS_GENERIC,TIME_GENERIC_COSTxRENDA_ALLFAIXAS_SPECIFIC,110.27226527266816,6,1.7876175933525633e-21
TIME_COSTxRENDA_LH_GENERIC,TIME_GENERIC_COSTxRENDA_LH_SPECIFIC,80.25799722227885,2,3.7341979730928466e-18
TIME_GENERIC_COST_SPECIFIC,TIME_COST_SPECIFIC,41.21421565989931,1,1.3642671910392965e-10
TIME_SPECIFIC_COST_GENERIC,TIME_COST_SPECIFIC,9.149739651319805,1,0.0024875345698997645
