restricted,full,LR,df,pvalue
TgCg,TeCg,118.60211985887508,1,1.2799208566108612e-27
TgCg,TgCe,86.5376438504536,1,1.3710260345974506e-20
TgCR(BMA)e,TeCR(BMA)e,41.41974682937348,1,1.2281052739485114e-10
TgCe,TeCe,41.214215659803585,1,1.364267191106108e-10
TeCg,TeCe,9.149739651382106,1,0.002487534569815073
