SPEC,LL,K,AIC,BIC,HitRate
TeCR(BMA)e,-683.5885723905695,9,1385.177144781139,1432.9961282649517,0.8
TeCe,-698.3212638807883,5,1406.6425277615765,1433.208629697028,0.7993333333333333
TeCg,-702.8961337064793,4,1413.7922674129586,1435.04514896132,0.7926666666666666
TgCR(BMA)e,-704.2984458052563,8,1424.5968916105126,1467.102654707235,0.7886666666666666
TgCe,-718.92837171069,4,1445.85674342138,1467.1096249697414,0.7873333333333333
TgCg,-762.1971936359168,3,1530.3943872718337,1546.3340484331045,0.7713333333333333
